Survey,Tow,Date,Animal,Orientation,Taxa,Length,Calibration_mm,Body,Body_m,Height_scaled,Height_m,Y_low,Y_high,Midsection
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.115,0.0025,0.0519807583117897,0.0011,-0.000949398565896014,0.000187706512553541,-0.000140446109039938
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.1175,0.0026,0.0524870476402784,0.0011,-0.000954384245988456,0.000193796164666454,-0.000143499285323416
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.12,0.0026,0.0529412055197372,0.0012,-0.000958229524567645,0.000199885816779366,-0.000146552461606894
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.1225,0.0027,0.0533287509921021,0.0012,-0.000960617623435452,0.000205975468892277,-0.00014960563789037
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.125,0.0027,0.053716296464467,0.0012,-0.00096300572230326,0.000212065121005188,-0.000152658814173847
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.1275,0.0028,0.0541038419368321,0.0012,-0.00096539382117107,0.000218154773118101,-0.000155711990457324
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.13,0.0028,0.054491387409197,0.0012,-0.000967781920038878,0.000224244425231011,-0.000158765166740802
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.1325,0.0029,0.054878932881562,0.0012,-0.000970170018906688,0.000230334077343923,-0.000161818343024278
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.135,0.003,0.055266478353927,0.0012,-0.000972558117774495,0.000236423729456834,-0.000164871519307756
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.1375,0.003,0.055654023826292,0.0012,-0.000974946216642304,0.000242513381569746,-0.000167924695591231
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.14,0.0031,0.0560415692986569,0.0012,-0.000977334315510112,0.000248603033682658,-0.00017097787187471
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.1425,0.0031,0.0564291147710219,0.0012,-0.00097972241437792,0.000254692685795569,-0.000174031048158185
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.145,0.0032,0.0568166602433869,0.0012,-0.000982110513245729,0.000260782337908482,-0.000177084224441663
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.1475,0.0032,0.0571813777915916,0.0013,-0.000984498612113537,0.000266372617766425,-0.000180137400725139
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.15,0.0033,0.0575196630065581,0.0013,-0.000986886710981346,0.000271384677118615,-0.000183190577008617
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.1525,0.0033,0.0578579482215246,0.0013,-0.000989274809849155,0.000276396736470807,-0.000186243753292094
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.155,0.0034,0.0581962334364911,0.0013,-0.000991662908716963,0.000281408795822997,-0.000189296929575571
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.1575,0.0034,0.0585345186514575,0.0013,-0.000994051007584771,0.000286420855175188,-0.000192350105859048
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.16,0.0035,0.058872803866424,0.0013,-0.000996439106452579,0.000291432914527379,-0.000195403282142525
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.1625,0.0036,0.0592110890813905,0.0013,-0.000998827205320389,0.000296444973879569,-0.000198456458426002
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.165,0.0036,0.059549374296357,0.0013,-0.0010012153041882,0.00030145703323176,-0.000201509634709479
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.1675,0.0037,0.0598876595113234,0.0013,-0.00100360340305601,0.00030646909258395,-0.000204562810992956
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.17,0.0037,0.0602259447262899,0.0013,-0.00100599150192381,0.000311481151936141,-0.000207615987276433
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.1725,0.0038,0.0608370605337332,0.0013,-0.00101434790641735,0.000316493211288332,-0.00021066916355991
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.175,0.0038,0.061561071758753,0.0013,-0.00102517395461808,0.000321505270640522,-0.000213722339843386
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.1775,0.0039,0.0622850829837729,0.0014,-0.00103600000281881,0.000326517329992713,-0.000216775516126863
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.18,0.0039,0.0630090942087928,0.0014,-0.00104682605101954,0.000331529389344904,-0.00021982869241034
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.1825,0.004,0.0637331054338127,0.0014,-0.00105765209922027,0.000336541448697094,-0.000222881868693817
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.185,0.004,0.0644571166588326,0.0014,-0.00106847814742101,0.000341553508049285,-0.000225935044977294
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.1875,0.0041,0.0651811278838524,0.0014,-0.00107930419562174,0.000346565567401475,-0.000228988221260771
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.19,0.0042,0.0659051391088724,0.0014,-0.00109013024382247,0.000351577626753666,-0.000232041397544249
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.1925,0.0042,0.0666291503338923,0.0015,-0.0011009562920232,0.000356589686105857,-0.000235094573827725
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.195,0.0043,0.067353161558912,0.0015,-0.00111178234022393,0.000361601745458047,-0.000238147750111203
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.1975,0.0043,0.0680771727839319,0.0015,-0.00112260838842467,0.000366613804810238,-0.000241200926394679
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.2,0.0044,0.0688011840089519,0.0015,-0.0011334344366254,0.000371625864162429,-0.000244254102678157
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.2025,0.0044,0.0695251952339718,0.0015,-0.00114426048482613,0.00037663792351462,-0.000247307278961634
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.205,0.0045,0.0702492064589916,0.0015,-0.00115508653302686,0.00038164998286681,-0.000250360455245111
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.2075,0.0045,0.0709732176840115,0.0016,-0.00116591258122759,0.000386662042219001,-0.000253413631528588
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.21,0.0046,0.0716972289090314,0.0016,-0.00117673862942832,0.000391674101571191,-0.000256466807812064
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.2125,0.0046,0.0724212401340512,0.0016,-0.00118756467762906,0.000396686160923382,-0.00025951998409554
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.215,0.0047,0.0731452513590711,0.0016,-0.00119839072582979,0.000401698220275572,-0.000262573160379018
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.2175,0.0048,0.073869262584091,0.0016,-0.00120921677403052,0.000406710279627763,-0.000265626336662495
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.22,0.0048,0.0745932738091109,0.0016,-0.00122004282223125,0.000411722338979954,-0.000268679512945972
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.2225,0.0049,0.0753172850341308,0.0016,-0.00123086887043198,0.000416734398332145,-0.000271732689229449
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.225,0.0049,0.0760412962591507,0.0017,-0.00124169491863271,0.000421746457684336,-0.000274785865512926
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.2275,0.005,0.0767653074841706,0.0017,-0.00125252096683345,0.000426758517036526,-0.000277839041796404
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.23,0.005,0.0773442482290923,0.0017,-0.00126334701503418,0.00042859708710133,-0.00028089221807988
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.2325,0.0051,0.0776258950779731,0.0017,-0.00127041035136027,0.000427694916417935,-0.000283945394363357
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.235,0.0051,0.0775370679948645,0.0017,-0.00126936938518712,0.000426792745734541,-0.000286998570646834
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.2375,0.0052,0.077448240911756,0.0017,-0.00126832841901397,0.000425890575051146,-0.000290051746930311
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.24,0.0053,0.0773594138286474,0.0017,-0.00126728745284082,0.000424988404367752,-0.000293104923213787
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.2425,0.0053,0.0772705867455388,0.0017,-0.00126624648666768,0.000424086233684356,-0.000296158099497266
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.245,0.0054,0.0771817596624302,0.0017,-0.00126520552049453,0.000423184063000962,-0.000298011224809515
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.2475,0.0054,0.0770929325793216,0.0017,-0.00126416455432138,0.000422281892317569,-0.000293543062521733
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.25,0.0055,0.0770041054962132,0.0017,-0.00126312358814824,0.000421379721634175,-0.000289074900233952
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.2525,0.0055,0.0769152784131045,0.0017,-0.00126208262197509,0.00042047755095078,-0.000284606737946171
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.255,0.0056,0.0768264513299959,0.0017,-0.00126104165580194,0.000419575380267386,-0.00028013857565839
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.2575,0.0056,0.0767376242468875,0.0017,-0.00126000068962879,0.000418673209583993,-0.000275670413370608
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.26,0.0057,0.0766487971637788,0.0017,-0.00125895972345565,0.000417771038900598,-0.000271202251082828
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.2625,0.0057,0.0765599700806703,0.0017,-0.0012579187572825,0.000416868868217203,-0.000266734088795048
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.265,0.0058,0.0764711429975616,0.0017,-0.00125687779110935,0.000415966697533808,-0.000262265926507265
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.2675,0.0059,0.0763823159144531,0.0017,-0.0012558368249362,0.000415064526850415,-0.000257797764219485
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.27,0.0059,0.0762934888313445,0.0017,-0.00125479585876306,0.00041416235616702,-0.000253329601931703
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.2725,0.006,0.0762046617482359,0.0017,-0.00125375489258991,0.000413260185483625,-0.000248861439643922
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.275,0.006,0.0761158346651273,0.0017,-0.00125271392641676,0.00041235801480023,-0.000244393277356142
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.2775,0.0061,0.0760270075820189,0.0017,-0.00125167296024362,0.000411455844116838,-0.000239925115068361
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.28,0.0061,0.0759381804989102,0.0017,-0.00125063199407047,0.000410553673433443,-0.000235456952780579
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.2825,0.0062,0.0758493534158017,0.0017,-0.00124959102789732,0.000409651502750048,-0.000230988790492798
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.285,0.0062,0.075760526332693,0.0017,-0.00124855006172417,0.000408749332066653,-0.000226520628205017
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.2875,0.0063,0.0756716992495844,0.0017,-0.00124750909555103,0.000407847161383259,-0.000222052465917235
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.29,0.0063,0.075582872166476,0.0017,-0.00124646812937788,0.000406944990699865,-0.000217584303629456
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.2925,0.0064,0.0754940450833673,0.0017,-0.00124542716320473,0.000406042820016471,-0.000213116141341673
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.295,0.0065,0.0754052180002587,0.0016,-0.00124438619703158,0.000405140649333077,-0.000208647979053892
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.2975,0.0065,0.0753163909171502,0.0016,-0.00124334523085844,0.000404238478649682,-0.000204179816766111
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.3,0.0066,0.0752275638340416,0.0016,-0.00124230426468529,0.000403336307966287,-0.000199711654478331
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.3025,0.0066,0.075138736750933,0.0016,-0.00124126329851214,0.000402434137282893,-0.000195243492190549
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.305,0.0067,0.0750499096678245,0.0016,-0.001240222332339,0.000401531966599499,-0.000190775329902769
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.3075,0.0067,0.074961082584716,0.0016,-0.00123918136616585,0.000400629795916106,-0.000186307167614986
kpop,h15,06172016,A076,Lateral,krill,21.8755,1,0.31,0.0068,0.0748722555016074,0.0016,-0.0012381403999927,0.000399727625232711,-0.000181839005327205
